episode,ticks,epsilon,loss,total_ticks
338,30,0.02279581915073866,137378228.0,19004
339,40,0.02261416202863723,142314326.4,19044
340,31,0.02247437403540543,140120954.06451613,19075
341,36,0.022313123614955434,151191792.2222222,19111
342,29,0.022184069211706056,160602520.27586207,19140
343,33,0.02203812191561106,148195562.1818182,19173
344,42,0.021853758664398395,155298834.47619048,19215
345,35,0.021701301330769588,159180251.42857143,19250
346,41,0.02152406061536507,152245743.2195122,19291
347,37,0.02136535463212206,150568966.7027027,19328
348,41,0.021190857689189935,147958302.8292683,19369
349,36,0.021038816315014402,133838461.77777778,19405
350,30,0.020912948810109012,149642809.06666666,19435
351,34,0.020771209045176806,140780960.94117647,19469
352,30,0.020646942536204103,145822994.66666666,19499
353,49,0.02044557069531885,140634162.12244898,19548
354,30,0.020323252360900487,135732165.33333334,19578
355,33,0.02018954723666816,130700238.3030303,19611
356,31,0.020064746844378638,144643720.51612905,19642
357,53,0.01999663574825473,126297546.41509435,19695
358,31,0.01999663574825473,135757414.4516129,19726
359,31,0.01999663574825473,133311185.29032259,19757
360,34,0.01999663574825473,126504028.47058824,19791
361,42,0.01999663574825473,129212521.90476191,19833
362,32,0.01999663574825473,131256107.0,19865
363,30,0.01999663574825473,132308650.13333334,19895
364,30,0.01999663574825473,127770011.2,19925
365,42,0.01999663574825473,131550804.1904762,19967
366,30,0.01999663574825473,117935859.2,19997
367,32,0.01999663574825473,117523655.0,20029
368,30,0.01999663574825473,115850088.0,20059
369,33,0.01999663574825473,113574333.57575758,20092
370,33,0.01999663574825473,125567890.42424242,20125
371,35,0.01999663574825473,128815974.17142858,20160
372,30,0.01999663574825473,125619135.2,20190
373,32,0.01999663574825473,126164569.5,20222
374,33,0.01999663574825473,116694000.24242425,20255
375,47,0.01999663574825473,126894334.80851063,20302
376,31,0.01999663574825473,119019176.0,20333
377,34,0.01999663574825473,119839659.05882353,20367
378,35,0.01999663574825473,115376164.34285714,20402
379,34,0.01999663574825473,115249346.58823529,20436
380,38,0.01999663574825473,121614398.10526316,20474
381,52,0.01999663574825473,115222348.84615384,20526
382,31,0.01999663574825473,107246134.96774194,20557
383,40,0.01999663574825473,115924029.5,20597
384,35,0.01999663574825473,124395639.77142857,20632
385,30,0.01999663574825473,110359030.4,20662
386,32,0.01999663574825473,109177933.25,20694
387,33,0.01999663574825473,107063263.03030303,20727
388,32,0.01999663574825473,122207027.5,20759
389,32,0.01999663574825473,101232100.25,20791
390,32,0.01999663574825473,105853098.375,20823
391,35,0.01999663574825473,102137927.31428571,20858
392,31,0.01999663574825473,104616890.06451613,20889
393,31,0.01999663574825473,112996635.35483871,20920
394,37,0.01999663574825473,105370834.8108108,20957
395,34,0.01999663574825473,96702683.41176471,20991
396,50,0.01999663574825473,98581878.72,21041
397,34,0.01999663574825473,109534846.35294117,21075
398,39,0.01999663574825473,103166502.76923077,21114
399,49,0.01999663574825473,108262614.20408164,21163
400,32,0.01999663574825473,114081675.0,21195
401,32,0.01999663574825473,105533664.5,21227
402,31,0.01999663574825473,103344097.67741935,21258
403,37,0.01999663574825473,104531520.64864865,21295
404,30,0.01999663574825473,98900895.73333333,21325
405,33,0.01999663574825473,100901319.51515152,21358
406,31,0.01999663574825473,97371332.12903225,21389
407,31,0.01999663574825473,91773424.64516129,21420
408,38,0.01999663574825473,97658337.26315789,21458
409,36,0.01999663574825473,91950097.33333333,21494
410,39,0.01999663574825473,92797191.6923077,21533
411,32,0.01999663574825473,92208766.75,21565
412,31,0.01999663574825473,87764367.74193548,21596
413,48,0.01999663574825473,91739743.41666667,21644
414,43,0.01999663574825473,86078318.13953489,21687
415,33,0.01999663574825473,90133164.96969697,21720
416,32,0.01999663574825473,84232034.25,21752
417,33,0.01999663574825473,79490420.0,21785
418,59,0.01999663574825473,82512046.44067797,21844
419,31,0.01999663574825473,76841537.67741935,21875
420,32,0.01999663574825473,79477988.125,21907
421,32,0.01999663574825473,79627760.25,21939
422,44,0.01999663574825473,80625819.0,21983
423,42,0.01999663574825473,76569911.04761904,22025
424,40,0.01999663574825473,77320216.7,22065
425,62,0.01999663574825473,76719014.58064516,22127
426,40,0.01999663574825473,73160468.5,22167
427,39,0.01999663574825473,73664681.12820514,22206
428,34,0.01999663574825473,70226373.76470588,22240
429,40,0.01999663574825473,68367000.8,22280
430,34,0.01999663574825473,67336350.47058824,22314
431,39,0.01999663574825473,64823848.820512824,22353
432,35,0.01999663574825473,65071688.571428575,22388
433,34,0.01999663574825473,60377303.64705882,22422
434,47,0.01999663574825473,59826194.38297872,22469
435,33,0.01999663574825473,67605379.21212122,22502
436,37,0.01999663574825473,59348614.05405405,22539
437,41,0.01999663574825473,64297276.487804875,22580
438,45,0.01999663574825473,66950865.68888889,22625
439,43,0.01999663574825473,68365799.62790698,22668
440,37,0.01999663574825473,79297831.56756757,22705
441,55,0.01999663574825473,90774412.0,22760
442,41,0.01999663574825473,100859162.53658536,22801
443,37,0.01999663574825473,118588134.91891892,22838
444,37,0.01999663574825473,156479008.86486486,22875
445,42,0.01999663574825473,2520326708.1904764,22917
446,53,0.01999663574825473,43169536598.9434,22970
447,41,0.01999663574825473,72276272202.92683,23011
448,41,0.01999663574825473,59681470813.65854,23052
449,39,0.01999663574825473,52689936384.0,23091
450,56,0.01999663574825473,40587680256.0,23147
451,46,0.01999663574825473,27447804972.52174,23193
452,42,0.01999663574825473,20690336743.61905,23235
453,41,0.01999663574825473,17420528140.487804,23276
454,42,0.01999663574825473,15704894512.761906,23318
455,63,0.01999663574825473,13831968442.920635,23381
456,49,0.01999663574825473,12668101276.734694,23430
457,45,0.01999663574825473,11911358600.533333,23475
458,40,0.01999663574825473,11958376460.8,23515
459,39,0.01999663574825473,12091139360.820513,23554
460,42,0.01999663574825473,11677730218.666666,23596
461,44,0.01999663574825473,13486917725.09091,23640
462,42,0.01999663574825473,13271525619.809525,23682
463,41,0.01999663574825473,14055991695.609756,23723
464,59,0.01999663574825473,17879161040.271187,23782
465,42,0.01999663574825473,19270383811.04762,23824
466,41,0.01999663574825473,20492638033.17073,23865
467,62,0.01999663574825473,22494026322.580647,23927
468,38,0.01999663574825473,23368999343.157894,23965
469,44,0.01999663574825473,24039404590.545456,24009
470,44,0.01999663574825473,25368839261.090908,24053
471,44,0.01999663574825473,27255926365.090908,24097
472,38,0.01999663574825473,34409990305.68421,24135
473,38,0.01999663574825473,31054004762.94737,24173
474,75,0.01999663574825473,27200562216.96,24248
475,85,0.01999663574825473,22809572002.635296,24333
476,56,0.01999663574825473,21113627666.285713,24389
477,46,0.01999663574825473,19523121908.869564,24435
478,48,0.01999663574825473,19967036949.333332,24483
479,38,0.01999663574825473,19318825876.210526,24521
480,35,0.01999663574825473,18390783210.057144,24556
481,68,0.01999663574825473,18007472007.52941,24624
482,36,0.01999663574825473,18569901994.666668,24660
483,36,0.01999663574825473,19651132416.0,24696
484,37,0.01999663574825473,21224547853.837837,24733
485,36,0.01999663574825473,21511161002.666668,24769
486,38,0.01999663574825473,21728357699.36842,24807
487,88,0.01999663574825473,21163102161.454544,24895
488,32,0.01999663574825473,14804633920.0,24927
489,36,0.01999663574825473,20431035505.77778,24963
490,42,0.01999663574825473,14743760627.809525,25005
491,32,0.01999663574825473,20457439776.0,25037
492,55,0.01999663574825473,17142079506.618181,25092
493,56,0.01999663574825473,8596995844.571428,25148
494,38,0.01999663574825473,6660591171.368421,25186
495,40,0.01999663574825473,6182095833.6,25226
496,46,0.01999663574825473,5915217352.347826,25272
497,34,0.01999663574825473,5723312617.411765,25306
498,33,0.01999663574825473,6241246122.666667,25339
499,34,0.01999663574825473,6018172167.529411,25373
500,38,0.01999663574825473,5796027001.263158,25411
501,37,0.01999663574825473,6255093773.837838,25448
502,61,0.01999663574825473,111309019723.54099,25509
503,32,0.01999663574825473,131153803520.0,25541
504,66,0.01999663574825473,253321699203.87878,25607
505,78,0.01999663574825473,108330503666.8718,25685
506,41,0.01999663574825473,94016551161.7561,25726
507,44,0.01999663574825473,91547812584.72728,25770
508,45,0.01999663574825473,87380196465.77777,25815
509,43,0.01999663574825473,85470170850.23256,25858
510,44,0.01999663574825473,83587673553.45454,25902
511,37,0.01999663574825473,80038851999.13513,25939
512,51,0.01999663574825473,76506358081.2549,25990
513,44,0.01999663574825473,73983204817.45454,26034
514,35,0.01999663574825473,72464461589.94286,26069
515,38,0.01999663574825473,57942935673.26316,26107
